trial_number,individual_reward,collective_reward,duration_seconds,state,learning_rate,gamma,n_units,epsilon_min,episode_length
35,-8.320000000000006,3,156.781756,COMPLETE,0.000338194562104082,0.9567011001078731,64,0.582275716501709,67
36,2.259999999999997,8,72.612592,COMPLETE,9.129079486562533e-05,0.8217524017485598,64,0.4276834444197586,47
37,-9.830000000000005,1,116.201959,COMPLETE,0.0014298073948865878,0.8900091366683089,64,0.6549987484174205,58
38,-2.290000000000004,5,87.373657,COMPLETE,0.0006634100561364163,0.8633163838133753,64,0.7526779733964204,49
39,2.8199999999999985,8,67.870063,COMPLETE,5.6347182496472606e-05,0.911165055839892,64,0.49745550954838075,43
40,-7.090000000000006,3,124.837858,COMPLETE,8.95264669027345e-06,0.9218714772219684,64,0.4012143626806603,60
41,3.179999999999997,9,98.713183,COMPLETE,2.660389688438996e-05,0.9332243715285712,128,0.2756039113989662,53
42,2.909999999999997,9,91.83879,COMPLETE,5.5253170135657015e-05,0.9066383727550938,128,0.188106679937126,55
43,9.79,14,103.249691,COMPLETE,4.233920901397733e-05,0.8476158587635675,256,0.33741762136651754,66
44,0.019999999999995355,8,102.869653,COMPLETE,0.00011148168970860076,0.8479464073974132,256,0.3165738735727816,66
45,6.789999999999997,12,110.355498,COMPLETE,2.0630263090800614e-05,0.8683299715880547,256,0.36283711093994353,63
46,13.149999999999999,16,106.959608,COMPLETE,2.099293389446962e-05,0.8657722854322968,256,0.5361805478338386,63
47,4.639999999999996,11,114.777576,COMPLETE,2.012780349227682e-05,0.8684983015723882,256,0.33750497840709803,69
48,-7.760000000000006,3,139.799786,COMPLETE,2.740421501719015e-06,0.8452249743508891,256,0.5311909564453619,64
49,-1.8200000000000052,7,138.51788,COMPLETE,6.964973695934687e-06,0.8760471975148386,256,0.46031976304023003,68
50,8.389999999999999,13,102.059204,COMPLETE,3.974043848693735e-05,0.8870128817320075,256,0.4035663348288001,63
51,1.949999999999996,9,109.931159,COMPLETE,3.307544430149409e-05,0.8894074726834105,256,0.40215535323817114,63
52,0.519999999999996,8,110.570284,COMPLETE,1.672304370295299e-05,0.8662672964012391,256,0.2260116284190765,62
53,3.1499999999999964,10,105.636015,COMPLETE,3.599183030955573e-05,0.8857897612668751,256,0.2932809726126608,67
54,8.729999999999999,13,87.369564,COMPLETE,6.36612162513402e-05,0.8366519865439277,256,0.361428186420939,58
55,-6.700000000000005,3,126.129339,COMPLETE,0.0724636261512224,0.8364678520854393,256,0.3779663621298245,58
56,5.099999999999996,11,107.130596,COMPLETE,6.602876367609426e-05,0.8508800560272879,256,0.5023946958781236,64
57,-2.120000000000005,7,149.136465,COMPLETE,3.6670908412780976e-06,0.8211168328403131,256,0.6201130058321249,70
58,8.839999999999998,13,107.927252,COMPLETE,9.603161251808553e-06,0.8401547961658451,256,0.43473732043432045,57
59,1.2999999999999967,8,104.893681,COMPLETE,8.337033088675109e-06,0.8267807074602213,256,0.4172957004163984,56
60,-0.8800000000000041,7,120.371817,COMPLETE,4.484641722673793e-06,0.8398832073143356,256,0.5400525792147042,61
61,-2.000000000000004,6,103.770157,COMPLETE,1.170003202143013e-05,0.872310001520846,256,0.36287829232674196,57
62,11.439999999999998,15,106.415414,COMPLETE,4.169042968921041e-05,0.8145148551632005,256,0.4768725799141276,66
63,4.959999999999996,11,108.565563,COMPLETE,4.4475505913318634e-05,0.8115418938766942,256,0.4797095597898802,66
64,8.059999999999997,13,120.314092,COMPLETE,0.0002485385520368921,0.8002802195812891,256,0.46001465781641077,68
65,1.4499999999999962,9,145.846299,COMPLETE,0.00021209594917243502,0.8102933219757403,256,0.44901018685134375,68
66,1.1799999999999953,9,149.564514,COMPLETE,0.0002703745810180473,0.804540285254085,256,0.3203906617163861,70
