trial_number,individual_reward,collective_reward,duration_seconds,state,learning_rate,gamma,n_units,epsilon_min,episode_length
63,8.519999999999998,15,136.455912,COMPLETE,3.2072824388740717e-06,0.8079515462526395,256,0.5495873762481917,63
64,1.9199999999999995,3,2.339239,COMPLETE,5.983744723162384e-06,0.8138135523987136,256,0.607817790454447,7
65,2.739999999999998,8,54.850035,COMPLETE,1.6990332231504706e-05,0.8340668134069067,128,0.4439426427010337,37
66,1.769999999999997,9,95.513578,COMPLETE,1.0597538430906438e-05,0.8568985981961552,256,0.5284940791721024,50
67,7.1099999999999985,13,103.516915,COMPLETE,5.773988971717892e-05,0.9628861091037708,256,0.7579883124749088,54
68,6.37,10,35.105527,COMPLETE,2.38469405040044e-05,0.8252518841588772,64,0.47900877774457523,30
69,6.919999999999997,12,82.166325,COMPLETE,5.089559820661208e-06,0.8407088301672778,128,0.6950627360362752,46
70,7.479999999999998,14,125.190308,COMPLETE,2.3355647806476552e-06,0.9971074850722528,256,0.6452981155383865,60
71,9.77,15,104.791775,COMPLETE,9.327895240945729e-06,0.8174568362892173,256,0.6232542007256461,53
72,4.419999999999999,10,63.077662,COMPLETE,7.691770203564514e-06,0.8158727381605276,256,0.5697991096995414,40
73,6.679999999999997,13,112.625093,COMPLETE,3.7479734627894186e-06,0.8063873844018404,256,0.6086468250365803,56
74,7.109999999999998,13,102.930499,COMPLETE,1.4663306828155478e-05,0.8311431272447419,256,0.5906917088975835,53
75,7.339999999999998,13,88.412752,COMPLETE,2.7900611392972105e-05,0.8929711239778124,256,0.6685891280912089,48
76,-0.5999999999999999,2,10.282063,COMPLETE,0.0014452200020715815,0.9849643221953317,256,0.526034714105853,15
77,4.189999999999997,11,93.275519,COMPLETE,7.207678901551815e-06,0.9153188967854284,128,0.7031575114644558,50
78,6.049999999999998,11,74.104291,COMPLETE,1.9465204762870947e-06,0.8221707460861878,256,0.6262558823003054,44
79,5.699999999999998,10,43.824842,COMPLETE,1.0094819587739278e-05,0.8758080080705524,256,0.4453607247045645,33
80,6.939999999999996,15,127.168333,COMPLETE,4.444755612785735e-06,0.8061134646234416,64,0.10835251145142943,62
81,0.2799999999999968,8,104.942853,COMPLETE,1.2901571870499815e-05,0.8217896029894545,256,0.6273596507688487,52
82,6.109999999999997,13,118.690971,COMPLETE,2.802997599102183e-06,0.8171345465802689,256,0.5589255974912781,58
83,5.679999999999997,12,105.195706,COMPLETE,6.099309155074902e-06,0.801317621663213,256,0.6501817740960611,54
84,6.279999999999998,12,94.048931,COMPLETE,9.467537093178457e-06,0.8268304632236905,256,0.30716336381908704,52
85,7.059999999999997,13,84.264033,COMPLETE,1.718267298521719e-05,0.8122320058676344,256,0.5963524836321951,47
